  idx    bwx    bwy    wox    woy  atom          wix    wiy    bk    wk    mtb    bx    by    regs    smem    latency
  110      2      2      3      1  row_2x16        4      4     8     1      4    48   128     128   11264      0.125
  166      4      2      3      3  row_4x8         4      4     4     1      1   192   192     224   12288      0.136
  167      4      2      3      3  custom_4x8      4      4     4     1      1   192   192     224   12288      0.136
  169      2      1      3      3  custom_4x8      4      4     8     1      4    96    96     240   12288      0.143
  149      2      2      3      2  row_4x8         4      4     8     1      2    96   128     184   14336      0.146
  150      2      2      3      2  custom_4x8      4      4     8     1      2    96   128     184   14336      0.146
  168      2      1      3      3  row_4x8         4      4     8     1      4    96    96     240   12288      0.146
  132      2      2      2      3  custom_4x8      4      4     8     1      2    64   192     184   16384      0.151
  131      2      2      2      3  row_4x8         4      4     8     1      2    64   192     184   16384      0.152
  134      2      4      2      3  custom_4x8      4      4     8     1      1    64   384     184   28672      0.176
  153      2      4      3      2  custom_4x8      4      4     8     1      1    96   256     176   22528      0.178
  109      2      2      3      1  custom_4x8      4      4     8     1      4    96    64     128   10240      0.179
  108      2      2      3      1  row_4x8         4      4     8     1      4    96    64     128   10240      0.181
  136      4      2      2      3  custom_4x8      4      4     8     1      1   128   192     176   20480      0.181
  137      4      2      2      3  row_2x16        4      4     8     1      1    64   384     184   28672      0.181
  133      2      4      2      3  row_4x8         4      4     8     1      1    64   384     184   28672      0.182
  155      4      2      3      2  custom_4x8      4      4     8     1      1   192   128     176   20480      0.182
  152      2      4      3      2  row_4x8         4      4     8     1      1    96   256     176   22528      0.182
  171      2      2      3      3  custom_4x8      4      4     8     1      2    96   192     240   18432      0.183
  156      4      2      3      2  row_2x16        4      4     8     1      1    96   256     176   22528      0.183
  170      2      2      3      3  row_4x8         4      4     8     1      2    96   192     240   18432      0.184
  154      4      2      3      2  row_4x8         4      4     8     1      1   192   128     176   20480      0.188
  135      4      2      2      3  row_4x8         4      4     8     1      1   128   192     176   20480      0.188
  114      4      2      3      1  custom_4x8      4      4     8     1      2   192    64     120   16384      0.219
  113      4      2      3      1  row_4x8         4      4     8     1      2   192    64     120   16384      0.219
  173      2      4      3      3  custom_4x8      4      4     8     1      1    96   384     232   30720      0.224
  176      4      2      3      3  row_2x16        4      4     8     1      1    96   384     232   30720      0.229
  172      2      4      3      3  row_4x8         4      4     8     1      1    96   384     232   30720      0.230
  175      4      2      3      3  custom_4x8      4      4     8     1      1   192   192     232   24576      0.237
  174      4      2      3      3  row_4x8         4      4     8     1      1   192   192     232   24576      0.241
